"Item Code","Item Group","Default Unit of Measure","Has Variants","Maintain Stock","Is Fixed Asset","Asset Category","Brand","Description","End of Life","Shelf Life In Days","Variant Of","Variant Based On","Safety Stock","Lead Time in days","HSN/SAC","Attribute (Variant Attributes)","Attribute Value (Variant Attributes)"
"CLINICAL THERMOMETERS","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"FIRE HYDRANT (ABOVE GROUND)","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"PHOTOELECTRIC SMOKE DETECTOR","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"FIRE FIGHTING SPRINKLER","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"FIRE FIGHTING HOSE","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"FIRE HOSE CABINET","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"FIRE FIGHTING WET RISER LANDING VALVE","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"FIRE PUMP","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"FIRE ALARM MANUAL CALL POINT","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"CO2 GAS FLOODING SYSTEM","SAFETY","Nos",0,1,0,"","","","","","FIRE EXTINGUISHER","Item Attribute",1,7,62114300,"Type","CO2 GAS FLOODING SYSTEM"
"TRAFFIC SIGN","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"ANTI FIRE CLOTHES","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"FIRE ALARM /SMOKE DETECTOR","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"FACE SHIELD","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"MEGHA PHONE","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"SYREN","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"TRAFFIC CONES","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"GREASE NIPPLES","SPARE PARTS","Nos",0,1,0,"","","","","","","","",7,84833000,"",""
"WIRE ROPE CELING","SPARE PARTS","Nos",0,1,0,"","","","","","WIRE ROPE CELING","Item Attribute",2,7,84833000,"Type","WIRE ROPE CELING"
"DUST SEAL FOR GRINDER 4""","SPARE PARTS","Nos",0,1,0,"","","","","","","",2,7,84833000,"",""
"CHECK NUT FOR GRINDER 4""","SPARE PARTS","Nos",0,1,0,"","","","","","","",2,7,84833000,"",""
"GEAR WITH BOX FOR GRINDER 4""","SPARE PARTS","Nos",0,1,0,"","","","","","","",2,7,84833000,"",""
"LOCK PIN FOR GRINDER 4""","SPARE PARTS","Nos",0,1,0,"","","","","","","",2,7,84833000,"",""
"SWITCH FOR GRINDER 4""","SPARE PARTS","Nos",0,1,0,"","","","","","","",2,7,84833000,"",""
"STOP CABLE","SPARE PARTS","Nos",0,1,0,"","","","","","","",2,7,84833000,"",""
"EMERGENCY SWITCH","SPARE PARTS","Nos",0,1,0,"","","","","","","",2,7,84833000,"",""
"HYDRAULIC HOSE PIPE","SPARE PARTS","Nos",0,1,0,"","","","","","","",2,7,84833000,"",""
"Terminal For DT Connector F 80401864","SPARE PARTS","Nos",0,1,0,"","","","","","","",2,7,84833000,"",""
"D T Conector 4Wf 80402456","SPARE PARTS","Nos",0,1,0,"","","","","","","",2,7,84833000,"",""
"GREASE GUN PIPE","SPARE PARTS","Nos",0,1,0,"","","","","","","",2,7,84833000,"",""
"END TIPS","SPARE PARTS","Nos",0,1,0,"","","","","","","",2,7,84833000,"",""
"HOSE PIPE","SPARE PARTS","Nos",0,1,0,"","","","","","","",2,7,84833000,"",""
"Hose Outer Copling","SPARE PARTS","Nos",0,1,0,"","","","","","","",2,7,84833000,"",""
"BREAK LINER","SPARE PARTS","Nos",0,1,0,"","","","","","","","",7,84833000,"",""
"Transmission Filter","SPARE PARTS","Nos",0,1,0,"","","","","","","","",7,84833000,"",""
