Item Code,Item Group,Default Unit of Measure,Has Variants,Maintain Stock,Is Fixed Asset,Asset Category,Brand,Description,End of Life,Shelf Life In Days,Variant Of,Variant Based On,Safety Stock,Lead Time in days,HSN/SAC,Attribute (Variant Attributes),Attribute Value (Variant Attributes)
SPRAY PAINT BLUE,CONSUMABLE,Litre,0,1,0,,,,2026-12-31,365.0,SPRAY PAINT,Item Attribute,2.0,7,32089099,Color,BLUE
SPRAY PAINT ORANGE,CONSUMABLE,Litre,0,1,0,,,,2026-12-31,365.0,SPRAY PAINT,Item Attribute,2.0,7,32089099,Color,ORANGE
SPRAY PAINT YELLOW,CONSUMABLE,Litre,0,1,0,,,,2026-12-31,365.0,SPRAY PAINT,Item Attribute,2.0,7,32089099,Color,YELLOW
LUSTER PAINT,CONSUMABLE,Litre,0,1,0,,,,2028-12-31,1095.0,,,20.0,7,32089099,,
OIL PAINT RED BERGER,CONSUMABLE,Litre,0,1,0,,BERGER,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,RED (BERGER)
OIL PAINT RED ASIAN,CONSUMABLE,Litre,0,1,0,,ASIAN,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,RED ( ASIAN)
OIL PAINT RED NEROLACK,CONSUMABLE,Litre,0,1,0,,NEROLACK,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,RED (ROLACK)
OIL PAINT RED BIRLA,CONSUMABLE,Litre,0,1,0,,BIRLA,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,RED ( BIRLA)
OIL PAINT BLACK BERGER,CONSUMABLE,Litre,0,1,0,,BERGER,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,BLACK (BERGER)
OIL PAINT BLACK ASIAN,CONSUMABLE,Litre,0,1,0,,ASIAN,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,BLACK ( ASIAN)
OIL PAINT BLACK NEROLACK,CONSUMABLE,Litre,0,1,0,,NEROLACK,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,BLACK (ROLACK)
OIL PAINT BLACK BIRLA,CONSUMABLE,Litre,0,1,0,,BIRLA,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,BLACK ( BIRLA)
OIL PAINT WHITE BERGER,CONSUMABLE,Litre,0,1,0,,BERGER,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,WHITE (BERGER)
